Tim Mayza*,TOR,mayzati01
Tim Mayza*,NYY,mayzati01
Adam Mazur,SDP,mazurad01
James McArthur,KCR,mcartja01
James McCann,BAL,mccanja02
Darren McCaughan,TOT,mccauda01
Darren McCaughan,MIA,mccauda01
Darren McCaughan,CLE,mccauda01
Chayce McDermott,BAL,mcderch01
T.J. McFarland*,OAK,mcfartj01
Scott McGough,ARI,mcgousc01
Michael McGreevy,STL,mcgremi01
Triston McKenzie,CLE,mckentr01
Zach McKinstry,DET,mckinza01
John McMillon,MIA,mcmiljo01
John Means*,BAL,meansjo01
Nick Mears,TOT,mearsni01
Nick Mears,COL,mearsni01
Nick Mears,MIL,mearsni01
Luis Medina,OAK,medinlu02
James Meeker,MIL,meekeja01
Trevor Megill,MIL,megiltr01
Tylor Megill,NYM,megilty01
Cristian Mena,ARI,menacr01
Danny Mendick,CHW,mendida01
Michael Mercado,PHI,mercami01
Julian Merryweather,CHC,merryju01
Matt Mervis,CHC,mervima01
Max Meyer,MIA,meyerma01
Miles Mikolas,STL,mikolmi01
Wade Miley*,MIL,mileywa01
Bobby Miller,LAD,millebo06
Bryce Miller,SEA,millebr04
Erik Miller*,SFG,milleer01
Mason Miller,OAK,millema03
Owen Miller,MIL,milleow01
Shelby Miller,DET,millesh01
Tyson Miller,TOT,millety01
Tyson Miller,SEA,millety01
Tyson Miller,CHC,millety01
Hoby Milner*,MIL,milneho01
A.J. Minter*,ATL,minteaj01
Anthony Misiewicz*,NYY,misiean01
Casey Mize,DET,mizeca01
Carmen Mlodzinski,PIT,mlodzca01
Anthony Molina,COL,molinan01
Sam Moll*,CIN,mollsa01
Frankie Montas,TOT,montafr02
Frankie Montas,CIN,montafr02
Frankie Montas,MIL,montafr02
Keider Montero,DET,monteke01
Rafael Montero,HOU,montera01
Jordan Montgomery*,ARI,montgjo01
Matt Moore*,LAA,moorema02
Adrián Morejón*,SDP,morejad01
Eli Morgan,CLE,morgael01
Charlie Morton,ATL,mortoch02
Kyle Muller*,OAK,mulleky01
Andrés Muñoz,SEA,munozan01
Roddery Muñoz,MIA,munozro01
Joe Musgrove,SDP,musgrjo01
Parker Mushinski*,HOU,mushipa01
Tobias Myers,MIL,myersto01
Tommy Nance,TOR,nanceto01
Andrew Nardi*,MIA,nardian01
Nick Nastrini,CHW,nastrni01
Kyle Nelson*,ARI,nelsoky01
Nick Nelson,PHI,nelsoni01
Ryne Nelson,ARI,nelsory01
Héctor Neris,CHC,nerishe01
Sean Newcomb*,OAK,newcose01
Kyle Nicolas,PIT,nicolky01
Vinny Nittoli,TOT,nittovi01
Vinny Nittoli,OAK,nittovi01
Vinny Nittoli,BAL,nittovi01
Aaron Nola,PHI,nolaaa01
Dedniel Núñez,NYM,nunezde01
Riley O'Brien,STL,obrieri01
Jack O'Loughlin*,OAK,olougja01
Bailey Ober,MIN,oberba01
Steven Okert*,MIN,okertst01
Reese Olson,DET,olsonre01
Kaleb Ort,HOU,ortka01
