
Rk	Name	Age	Tm	W	L	W-L%	ERA	G	GS
▼	GF	CG	SHO	SV	IP	H	R	ER	HR	BB	IBB	SO	HBP	BK	WP	BF	ERA+	FIP	WHIP	H9	HR9	BB9	SO9	SO/W
114	Robbie Ray*	32	SFG	2	2	.500	6.00	5	5	0	0	0	0	21.0	16	14	14	6	12	0	30	4	0	3	92	66	6.32	1.333	6.9	2.6	5.1	12.9	2.50
115	Yilber Diaz	23	ARI	1	1	.500	4.05	4	4	0	0	0	0	20.0	18	9	9	2	8	0	14	0	0	1	83	103	4.28	1.300	8.1	0.9	3.6	6.3	1.75
116	Grant Holmes	28	ATL	1	0	1.000	3.60	14	4	4	0	0	0	45.0	41	18	18	4	10	2	47	1	0	2	182	117	2.98	1.133	8.2	0.8	2.0	9.4	4.70
117	Clayton Kershaw*	36	LAD	1	2	.333	3.50	4	4	0	0	0	0	18.0	20	11	7	1	5	0	17	1	1	1	81	116	3.01	1.389	10.0	0.5	2.5	8.5	3.40
118	Dallas Keuchel*	36	MIL	0	0		5.40	4	4	0	0	0	0	16.2	23	10	10	3	8	0	11	0	0	0	79	79	5.64	1.860	12.4	1.6	4.3	5.9	1.38
119	A.J. Puk*	29	TOT	4	8	.333	3.83	42	4	6	0	0	2	51.2	41	28	22	3	24	0	56	1	1	2	220	116	3.22	1.258	7.1	0.5	4.2	9.8	2.33
120	River Ryan	25	LAD	1	0	1.000	1.33	4	4	0	0	0	0	20.1	15	4	3	1	9	0	18	0	0	0	81	305	3.37	1.180	6.6	0.4	4.0	8.0	2.00
121	Justin Wrobleski*	23	LAD	0	1	.000	4.05	4	4	0	0	0	0	20.0	17	10	9	4	7	0	15	0	0	1	80	100	5.33	1.200	7.7	1.8	3.2	6.8	2.14
122	Mason Black	24	SFG	0	1	.000	8.79	4	3	0	0	0	0	14.1	21	14	14	4	7	0	10	3	0	0	72	46	7.50	1.953	13.2	2.5	4.4	6.3	1.43
123	Paul Blackburn	30	NYM	1	1	.500	4.50	3	3	0	0	0	0	16.0	17	10	8	2	6	0	16	2	0	0	71	90	4.30	1.438	9.6	1.1	3.4	9.0	2.67
124	Erick Fedde	31	STL	1	2	.333	5.63	3	3	0	0	0	0	16.0	16	10	10	4	4	0	12	1	0	0	67	77	5.86	1.250	9.0	2.3	2.3	6.8	3.00
125	Josh Fleming*	28	PIT	1	1	.500	4.02	25	3	9	0	0	1	31.1	34	18	14	3	14	0	17	1	0	1	138	103	4.77	1.532	9.8	0.9	4.0	4.9	1.21
126	Peter Lambert	27	COL	2	5	.286	5.49	26	3	6	0	0	0	57.1	63	36	35	5	26	2	48	2	0	5	256	83	4.10	1.552	9.9	0.8	4.1	7.5	1.85
127	Carmen Mlodzinski	25	PIT	2	4	.333	3.18	26	3	3	0	0	0	34.0	29	15	12	1	13	1	29	2	0	1	142	130	3.18	1.235	7.7	0.3	3.4	7.7	2.23
