Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,PlayerAdditional
97,Randy Arozarena,29,2TM,AL,1.1,118,487,412,59,90,24,0,16,42,16,8,58,121,.218,.333,.393,.726,108,.321,110,162,5,14,0,3,0,7/8HD,0,arozara01
98,Randy Arozarena,29,TBR,AL,0.6,100,409,350,45,74,19,0,15,37,16,7,45,101,.211,.318,.394,.712,103,.315,104,138,3,11,0,3,0,7/8HD,0,arozara01
99,Randy Arozarena,29,SEA,AL,0.5,18,78,62,14,16,5,0,1,5,0,1,13,20,.258,.410,.387,.797,137,.350,139,24,2,3,0,0,0,7,0,arozara01
100,Jorge Soler,32,2TM,NL,1.2,106,447,386,65,94,25,1,16,51,1,0,53,111,.244,.339,.438,.776,121,.344,124,169,9,4,0,3,0,D9/7H,0,solerjo01
101,Jorge Soler,32,SFG,NL,1.0,93,392,341,57,82,23,1,12,40,1,0,44,97,.240,.330,.419,.749,115,.335,118,143,9,3,0,3,0,D/H,0,solerjo01
102,Jorge Soler,32,ATL,NL,0.1,13,55,45,8,12,2,0,4,11,0,0,9,14,.267,.400,.578,.978,167,.415,167,26,0,1,0,0,0,9/7,0,solerjo01
103,Jose Altuve,34,HOU,AL,2.6,118,526,488,67,145,22,0,15,50,15,5,34,95,.297,.348,.434,.782,121,.346,123,212,9,4,0,0,1,4/DH,AS,altuvjo01
104,JJ Bleday,26,OAK,AL,2.7,120,483,430,57,107,33,4,15,45,1,3,51,87,.249,.330,.449,.779,122,.338,124,193,7,1,1,0,2,8H/D,0,bledajj01
105,Jackson Chourio,20,MIL,NL,2.8,109,405,376,58,103,17,1,15,53,16,4,25,87,.274,.319,.444,.763,110,.333,106,167,6,1,1,2,1,97/HD,0,chourja01
106,Willson Contreras,32,STL,NL,2.4,77,328,278,45,72,16,0,15,34,3,1,41,90,.259,.372,.478,.850,135,.370,135,133,5,9,0,0,1,2D/H,0,contrwi01
107,Jake Cronenworth,30,SDP,NL,1.2,118,500,444,56,110,23,2,15,70,2,2,40,91,.248,.321,.410,.730,105,.325,108,182,13,9,1,3,0,34/DH,0,croneja01
108,Jarren Duran,27,BOS,AL,6.6,119,556,505,83,147,37,13,15,59,29,4,43,126,.291,.350,.505,.855,133,.382,137,255,2,4,1,3,0,87,AS,duranja01
